,Tokens
14059,"2,254,000"
14060,macdonald
14061,"80,000"
14062,under-valu
14063,schweiz
14064,550
14065,happi
14066,surveil
14067,londrina
14068,swallow
14069,woodco
14070,"136,000"
14071,"6,068,254"
14072,4.88
14073,75.95
14074,mid-atlant
14075,tucson
14076,racin
14077,colorado
14078,monica
14079,sandi
14080,"9,576,000"
14081,mcbain
14082,1
14083,glaxo
14084,382.5
14085,jayark
14086,"2,900"
14087,knew
14088,graviti
14089,21.75
14090,skeoch
14091,15.0
14092,0.33
14093,peck
14094,"2,544,271"
14095,bookrunn
14096,1.19
14097,inadvert
14098,viewer
14099,"6,452,000"
14100,newark
14101,dont
14102,intern
14103,mpl
14104,232
14105,"2,855.9"
14106,"1,450"
14107,henk
14108,lender
14109,nazmi
14110,chemic
14111,clg
14112,20-23
14113,kokusan
14114,29.0
14115,nbha.m
14116,wong
14117,mid-pric
14118,yukon
14119,electro-opt
14120,2.8
14121,"3,489,000"
14122,"1,215,000"
14123,120.1
14124,5.68
14125,movi
14126,kilowatt
14127,"280,505"
14128,comptrol
14129,kvil
14130,aurelio
14131,redress
14132,colin
14133,rca
14134,1.909
14135,brf
14136,dyke
14137,three-tranch
14138,shandong
14139,paddi
14140,ethic
14141,laser
14142,"5,000"
14143,antonson
14144,"5,382,833"
14145,52
14146,near-inst
14147,subsist
14148,46.8
14149,877.4
14150,24.30
14151,breakeven
14152,bsi
14153,45.678
14154,inn
14155,ind
14156,backup
14157,"213,500"
14158,0.2125
14159,319.50
14160,overs
14161,reassur
14162,resevoir
14163,5.35
14164,glesk
14165,prensa
14166,lacklustr
14167,bc
14168,columbu
14169,pennel
14170,"978,000"
14171,"286,300"
14172,773.45
14173,pear
14174,gdic
14175,"752,000"
14176,flourish
14177,accruabl
14178,arts-rel
14179,152.2
14180,spear
14181,589.7
14182,rri
14183,19.08
14184,571
14185,variable-r
14186,anchor
14187,reprograph
14188,rip
14189,unrespons
14190,9.17
14191,genex
14192,"969,000"
14193,"1,091,000"
14194,185.9
14195,392.1
14196,platt
14197,753.7
14198,rosa
14199,eia
14200,wstp.
14201,417.20
14202,mrcm
14203,airbu
14204,race
14205,"187,893"
14206,"2,997,800"
14207,communist
14208,"4,898"
14209,45.1
14210,"2,935,734"
14211,5.01
14212,candid
14213,maintain
14214,davenport
14215,rosario
14216,higher-produc
14217,gaion
14218,brisban
14219,clanci
14220,regrett
14221,knox
14222,fieldwork
14223,intermagnet
14224,wolf
14225,snw
14226,15.42
14227,kommerzialbank
14228,sideway
14229,bni
14230,disk
14231,vre
14232,milk
14233,price
14234,trail
14235,slb.n
14236,"2,180,608"
14237,350-360
14238,magangu
14239,pepsico
14240,265.4
14241,ball
14242,smit
14243,oat
14244,hawkey
14245,revel
14246,prawn
14247,"6,364,992"
14248,"201,800"
14249,intendsd
14250,cpi-u
14251,aproveitamento
14252,yousfi
14253,"738,000"
14254,gesamtmetal
14255,prairi
14256,17.01
14257,interwest
14258,inadeuq
14259,teccor
14260,northport
14261,dog
14262,confectioneri
14263,crosibi
14264,sagawa
14265,binion
14266,welfar
14267,mobutu
14268,overfund
14269,nonrefund
14270,"12,500-14,500"
14271,asbi
14272,resold
14273,132.79
14274,workweek
14275,indentur
14276,1.8243
14277,resort
14278,214.1
14279,cross-sect
14280,gennadi
14281,iron
14282,osamu
14283,baa-3
14284,shandwick
14285,lewi
14286,flow-through
14287,brown-forman
14288,overdon
14289,7.77
14290,gonzalez
14291,piggyback
14292,passiv
14293,spent
14294,small-print
14295,two-for-seven
14296,80-mln
14297,downi
14298,"3,237,235"
14299,prive
14300,phenol
14301,hadson
14302,28.50
14303,upland
14304,mot.n
14305,194.3
14306,kerin
14307,excis
14308,meals-usda
14309,118.0
14310,684
14311,agreemat
14312,"318,000"
14313,224.87
14314,residu
14315,parra
14316,vastera
14317,scb
14318,wash.
14319,haskin
14320,greek-bas
14321,afobaka
14322,"3,784,000"
14323,36.1
14324,pannzoil
14325,november-octob
14326,ab
14327,earlier
14328,101-2
14329,fl-yr
14330,10-billion
14331,shipper
14332,montli
14333,2.61
14334,aig
14335,yamoussoukro
14336,undergo
14337,wgo
14338,micro-electron
14339,re-negoti
14340,ultrasystem
14341,montreal-lak
14342,lufin
14343,end-aug
14344,newbuild
14345,crunch
14346,unlist
14347,barg
14348,"24,756,000"
14349,butc
14350,"92,852"
14351,grinder
14352,dissatisfact
14353,take-ov
14354,flare
14355,67.7
14356,siaf
14357,dalian
14358,136.50
14359,127.8
14360,trader
14361,millet
14362,stockmarket
14363,rlm
14364,noks.h
14365,over-dramatis
14366,64
14367,96.03
14368,genoves
14369,"2,312,000"
14370,scrp
14371,arb
14372,"769,465"
14373,seat
14374,mickey
14375,"8,868,000"
14376,"854,000"
14377,advis
14378,assum
14379,"4,043,200"
14380,wanamak
14381,"4,531,000"
14382,lerner
14383,undivid
14384,fourth
14385,"442,420"
14386,infodata
14387,gaf
14388,arango
14389,"2,335,000"
14390,"112,400"
14391,"50,100"
14392,109.4
14393,20-year
14394,"8,974,355"
14395,5.83
14396,backlog
14397,1515
14398,tool
14399,korkman
14400,53.3
14401,mhc
14402,gm
14403,gfcc
14404,kang
14405,oljeselskap
14406,essi.pa
14407,watso
14408,liber
14409,comprehens
14410,committee-pass
14411,17.9p
14412,pesticid
14413,hk-tvb
14414,"734,609"
14415,11.94
14416,sown
14417,conglomer
14418,unaffili
14419,iac
14420,vereinsbank
14421,de-sulphuris
14422,494
14423,munit
14424,mistak
14425,three-way
14426,"921,000"
14427,54.86
14428,par-valu
14429,"251,708"
14430,bbnk
14431,18.00
14432,mascot
14433,five-ounc
14434,madeco
14435,heck
14436,elex
14437,"174,390"
14438,boart
14439,premdor
14440,t.p
14441,bellsouth
14442,conditio
14443,along
14444,barakat
14445,29.9
14446,hr
14447,418
14448,135-20
14449,citizen
14450,"972,794"
14451,hygeia
14452,175.9
14453,colour
14454,196.5
14455,downsid
14456,tripoli
14457,presplit
14458,worthwhil
14459,scatter
14460,copley
14461,huh
14462,redoubl
14463,"706,470"
14464,over-the-counter-
14465,"203,513,000"
14466,buffton
14467,tca
14468,"174,562"
14469,offfer
14470,mcmc
14471,noncitru
14472,alaskan
14473,529
14474,140.00
14475,marilyn
14476,matia
14477,"529,000"
14478,ami
14479,"3,768,000"
14480,espinosa
14481,"2,541,967"
14482,earnest
14483,"2,481,784"
14484,mclean
14485,"675,500"
14486,methan
14487,plu
14488,388.68
14489,217.9
14490,27-day
14491,vert
14492,47.5
14493,"2,623,974"
14494,amd
14495,"2,800"
14496,1985-87
14497,69.4
14498,albertson
14499,self-support
14500,clearanc
14501,statistician
14502,period
14503,"319,588"
14504,lebanes
14505,doubl
14506,7.86p
14507,avion
14508,sod
14509,ckp
14510,flagship
14511,et
14512,356.5
14513,leopoldo
14514,non-competit
14515,477
14516,worker
14517,communci
14518,ever-grow
14519,walli
14520,9.43
14521,moroccan
14522,tb
14523,"1,356,754"
14524,genossenschaftlich
14525,elsewher
14526,rigour
14527,youcef
14528,end
14529,jinfeng
14530,208.2
14531,schlumberg
14532,raton
14533,hostel
14534,october-
14535,3.065
14536,cali
14537,gencorp
14538,"4,364,000"
14539,dxyn
14540,120.515
14541,overwhelm
14542,"52,700"
14543,2.31
14544,timechart
14545,colder
14546,selloff
14547,calvari
14548,78.0
14549,pasadena
14550,contenpl
14551,ohio-bas
14552,hde
14553,oblig
14554,56.3
14555,3.251
14556,30.07
14557,a.n.r
14558,jopl
14559,275
14560,cofab
14561,"3,770,000"
14562,eb
14563,skandia
14564,durham
14565,"20,322"
14566,rawc
14567,co-head
14568,cl
14569,hexcel
14570,norm
14571,masco
14572,sign
14573,"9,059,600"
14574,valero
14575,"248,000"
14576,13-15
14577,weaken
14578,13-
14579,mcrib
14580,hypothet
14581,hillier
14582,lash
14583,belzberg
14584,heerlen
14585,"147,014"
14586,watchmak
14587,share
14588,nielsen
14589,stage
14590,placer
14591,co-lead
14592,render
14593,easi
14594,kuznetsov
14595,cvgt
14596,doctyp
14597,24-hour
14598,559.59
14599,beet
14600,49.9
14601,unequ
14602,oda
14603,"89,900"
14604,aiway
14605,sc.l
14606,"100-150,000"
14607,pw
14608,sumt.t
14609,newly-sign
14610,14-1
14611,veto
14612,restrain
14613,"2,061,102"
14614,finest
14615,clifford
14616,covington
14617,"718,269"
14618,"278,156"
14619,15.9
14620,892
14621,garmais
14622,counterclaim
14623,621
14624,"3,619,000"
14625,inf
14626,durat
14627,487.50
14628,unthink
14629,"233,000"
14630,respect
14631,0.87
14632,sgep.pa
14633,detroit
14634,"2,364,280"
14635,hwkb
14636,clayton
14637,roeher
14638,joe
14639,arriv
14640,98.403
14641,asymmetr
14642,plead
14643,ormand
14644,papua
14645,"14,629"
14646,skeptic
14647,newgoti
14648,38.04
14649,"6,030,000"
14650,ladder-mak
14651,"3,589,000"
14652,"6,561,000"
14653,calgari
14654,63.60
14655,troon
14656,dedham
14657,mokha
14658,pli
14659,neo-tech
14660,thsl.l
14661,camp
14662,duke
14663,386.7
14664,appeas
14665,922.4
14666,elk
14667,end-year
14668,788
14669,0.006916
14670,ceoe
14671,recaptur
14672,flyer
14673,reevalu
14674,extraordinarili
14675,dredg
14676,hershey
14677,784.35
14678,insp
14679,31.92
14680,ro-ro
14681,"665,000"
14682,bln
14683,"520,000"
14684,toss
14685,humili
14686,commercial
14687,"3,027,892"
14688,off-the-run
14689,instinct
14690,213
14691,cuhney
14692,capitalis
14693,non-dilut
14694,polyurethan
14695,fbi
14696,koss
14697,215.74
14698,fourth-quart
14699,rexcom
14700,fare
14701,abnorm
14702,middlemen
14703,117.8
14704,23.77
14705,"585,600"
14706,jo
14707,ctme
14708,"277,940"
14709,write-down
14710,debt-to-capit
14711,sulphur
14712,str
14713,bushnel
14714,solmec
14715,huanuni
14716,sider
14717,295
14718,74.9
14719,2.67
14720,49.01
14721,&
14722,marketshar
14723,945
14724,yamaichi
14725,industori
14726,brent-grad
14727,vice-governor
14728,inter-arab
14729,"2,267,000"
14730,"98,643,000"
14731,pfb
14732,21.8
14733,gzb
14734,d'electro-chimi
14735,33.51
14736,"392,428"
14737,reliev
14738,dickson
14739,cobalt
14740,faq
14741,cbl
14742,bradstreet
14743,nairobi
14744,"7,497,782"
14745,nissen
14746,stomach
14747,readi
14748,month-end
14749,"2,578,887"
14750,inconsist
14751,single-leg
14752,"1,118"
14753,5.375
14754,"480,200"
14755,"7,474,000"
14756,ahc.n
14757,oakley
14758,full-blown
14759,long-await
14760,redeliveri
14761,"143,780"
14762,"447,548"
14763,nunber
14764,fishmeal
14765,"977,000"
14766,kootenay
14767,conshohocken
14768,republ
14769,ton
14770,plx
14771,388
14772,dickinson
14773,"773,400"
14774,wayn
14775,zero-r
14776,unregul
14777,target
14778,summer
14779,"1,689,000"
14780,exchang
14781,fm
14782,avp
14783,huancayo
14784,somewhat
14785,6.06
14786,travel
14787,slain
14788,"2,454"
14789,36.23
14790,47-1
14791,410.7
14792,20-20
14793,b.v.
14794,hellman
14795,open
14796,"2,472,532"
14797,unalloc
14798,czarnikow
14799,ice
14800,dificulti
14801,ralph
14802,22.9
14803,lake
14804,"113,000"
14805,devic
14806,represenmt
14807,brabazon
14808,reuter
14809,"204,256"
14810,"118,671"
14811,cpml
14812,pagex
14813,merril
14814,"453,924"
14815,"1,136"
14816,cwe
14817,49.31
14818,zntl
14819,abruptli
14820,archer
14821,unzan
14822,103.47
14823,41.7
14824,37.25
14825,four-part
14826,"4,546,000"
14827,117.7
14828,tonka
14829,rosemont
14830,srd.n
14831,457
14832,chesebrough-pond
14833,1959
14834,wix
14835,debilit
14836,defence-rel
14837,boulder
14838,becker
14839,u.s.-china
14840,chemcial
14841,328.68
14842,ok.
14843,"1,349,077"
14844,183
14845,fast-mov
14846,knowledg
14847,mtp
14848,absurd
14849,ameritrust
14850,is
14851,technisch
14852,saba
14853,gelch
14854,non-middl
14855,backdrop
14856,lisa
14857,societi
14858,fiscal
14859,buy-down
14860,"7,960,000"
14861,"6,591,000"
14862,speedili
14863,klau
14864,u.s.-greek
14865,dominguez
14866,drysdal
14867,"1,070,000"
14868,rey
14869,34-1
14870,linnebank
14871,green
14872,98.875
14873,plaintif
14874,walker
14875,fd
14876,chittagong
14877,turben
14878,rainfal
14879,"11,850,000"
14880,1999-2000
14881,burundi
14882,orthoped
14883,suicid
14884,rhone
14885,37.09
14886,inmr.h
14887,99.609
14888,antitrust
14889,"613,205"
14890,non-recours
14891,"3,212,000"
14892,3he
14893,"732,000"
14894,196.3
14895,troubl
14896,cger
14897,hubei
14898,nord-est
14899,gilt
14900,napach
14901,chia
14902,wiley
14903,"86,000"
14904,reschedul
14905,cholesterol
14906,sohio
14907,porxpan
14908,"686,000"
14909,kuwaiti-own
14910,hennick
14911,"8,333,000"
14912,gwsb
14913,kisumu
14914,east-west
14915,york-bas
14916,farmington
14917,128.2
14918,burlingam
14919,"2,184,000"
14920,ha
14921,"474,944"
14922,solomec
14923,92.7
14924,10.44
14925,over-the-count
14926,reno
14927,drgl.l
14928,injunct
14929,malay
14930,"1,930,400"
14931,761.3
14932,35.76
14933,gusti
14934,inadqu
14935,"1,211,465"
14936,465
14937,boardwalk
14938,8.62
14939,yukuo
14940,17.42
14941,drew
14942,modest
14943,pubco
14944,segreg
14945,acqusit
14946,waf
14947,131.06
14948,merri
14949,atmospher
14950,"11,784,000"
14951,23.9
14952,wyss
14953,sunf
14954,"404,000"
14955,"2,623,000"
14956,ware
14957,chinkuli
14958,"1,081,600"
14959,barri
14960,gooseberri
14961,bvi
14962,m-4
14963,technic
14964,major
14965,morondava
14966,antoni
14967,induc
14968,corn-u.s.
14969,11.01
14970,westburn
14971,stranglehold
14972,encourag
14973,amadeu
14974,567.4
14975,rate
14976,35-dlr-per-shar
14977,slaid
14978,"1,357,000"
14979,tomorrow
14980,82
14981,comm
14982,migrant
14983,c.h
14984,interest-r
14985,1.86
14986,bronwyn
14987,"1,768,000"
14988,arrowhead
14989,carbon
14990,462
14991,404
14992,gainsco
14993,unemploymn
14994,ploy
14995,armendariz
14996,140-well
14997,wmsi
14998,98-5
14999,16.67
15000,133.4
15001,"289,000"
15002,indemnifi
15003,summari
15004,prersid
15005,abdel-shakour
15006,seetransport
15007,pak
15008,"4,995,735"
15009,"126,700"
15010,hrsi
15011,6.59
15012,fujisaki
15013,idyn
15014,cso
15015,destruct
15016,4
15017,peripheri
15018,actp
15019,fbgi
15020,qatar
15021,energet
15022,guillonneau
15023,substanti
15024,rumor
15025,4.7p
15026,neal
15027,100.6
15028,sorg
15029,balao
15030,teapa
15031,99.99
15032,default
15033,ballan
15034,government
15035,take-or-pay
15036,shon
15037,geertsema
15038,cohes
15039,back-stop
15040,enquiri
15041,"19,050"
15042,"2,351,000"
15043,tomaso
15044,conrtact
15045,length
15046,1.26
15047,1.97
15048,68.9
15049,contest
15050,alusuiss
15051,dealer
15052,swiss
15053,defict
15054,mcr
15055,piza
15056,cri
15057,tsunao
15058,porto-bas
15059,227.3
15060,neeser
15061,sabin
15062,elat
15063,text
15064,snet
15065,misgiv
15066,all-cash
15067,krone
15068,nilsson
15069,buick-oldsmobile-cadillac
15070,86.19
15071,research
15072,"3,025"
15073,24.13
15074,subsidi
15075,uranium
15076,fujitsu
15077,british-design
15078,categor
15079,3.61
15080,apart
15081,lama
15082,ciot
15083,fbc
15084,shortcom
15085,5.445
15086,eurodlr
15087,23.7
15088,saltpet
15089,panoch
15090,925
15091,8.217
15092,high-interest
15093,acton
15094,eight-year
15095,pnre
15096,defend
15097,gener
15098,vogt
15099,soya
15100,across-the-board
15101,300.3
15102,blgr
15103,relief
15104,pat
15105,child
15106,tel
15107,312
15108,writedown
15109,4.32
15110,roughag
15111,key
15112,legally-bind
15113,funnel
15114,394.1
15115,between
15116,237.43
15117,comerci
15118,"14,899"
15119,pazzionotto
15120,micropro
15121,petrocurr
15122,circumst
15123,slaughterhous
15124,cg
15125,five-month
15126,53.6
15127,plessey
15128,1.5
15129,mftn
15130,"419,541"
15131,hecha
15132,"2,756,596"
15133,153
15134,"80,109"
15135,castl
15136,satoshi
15137,slighlti
15138,125.6
15139,ahmanson
15140,waver
15141,u.s.-bas
15142,"643,000"
15143,vincent
15144,617.8238
15145,"182,042"
15146,koichi
15147,station
15148,pincu
15149,306
15150,injuri
15151,509
15152,71.3
15153,penn
15154,10-15
15155,finch
15156,brandon
15157,mcente
15158,"835,000"
15159,adher
15160,profit-mak
15161,quilon
15162,contempori
15163,cass
15164,ahm
15165,100.30
15166,uric
15167,stephani
15168,175.84
15169,got
15170,aerospac
15171,weekend
15172,del.
15173,crlnf
15174,5.4
15175,7125
15176,tehran
15177,61.48
15178,buse
15179,enthusiasm
15180,american-airc
15181,foreign-curr
15182,"243,000"
15183,kelli
15184,smolinski
15185,0.523
15186,garza
15187,divi
15188,36.2
15189,"1,410,184"
15190,discrimin
15191,partially-sunk
15192,1.77
15193,50.8
15194,toppl
15195,nucleic
15196,equiticorp
15197,kaufman
15198,spread
15199,sarasota
15200,"133,000"
15201,eximbank
15202,572.8
15203,10.77
15204,look
15205,remot
15206,solomon
15207,sprigg
15208,chevi
15209,325.13
15210,bitc
15211,div
15212,telephoniqu
15213,2.88
15214,"1,400,945"
15215,on-market
15216,oper
15217,.0840
15218,"41,000"
15219,10.5
15220,3.8995
15221,8-7
15222,1.429
15223,gwf
15224,avinda
15225,71-5
15226,devel
15227,"1,225"
15228,fahd
15229,medchem
15230,"118,208"
15231,arsenio
15232,936
15233,spillov
15234,met
15235,stablis
15236,disproportiaon
15237,prop
15238,becom
15239,natchez
15240,4.17
15241,kenyan
15242,alpha
15243,foreclos
15244,"3,123,900"
15245,"33,333"
15246,npd
15247,allentown
15248,condens
15249,+bahia
15250,"666,000"
15251,iwg
15252,hunt
15253,tiom
15254,sovr
15255,deepli
15256,nashua
15257,orleans-bas
15258,8-3
15259,33.9
15260,silo
15261,petrolera
15262,donald
15263,wors
15264,maximilian
15265,reciproc
15266,c-e
15267,26.1
15268,stevedor
15269,cmte
15270,contain
15271,"3,098,000"
15272,"137,000"
15273,10.22
15274,ltc
15275,resumpt
15276,cb
15277,0.80
15278,0.76
15279,17.80
15280,"191,000"
15281,cmi
15282,aciv
15283,conran
15284,"78,375"
15285,81.9
15286,75.15
15287,collier
15288,tof
15289,denshin
15290,"7,564,000"
15291,r-kan.
15292,transact
15293,830
15294,"9,438,425"
15295,margarin
15296,30.5
15297,99.28
15298,14.10
15299,sankei
15300,518.6
15301,90.50
15302,kyowa
15303,1983-88
15304,0.82
15305,"25,156"
15306,"17,400,000"
15307,"2,928,021"
15308,cge
15309,altex
15310,barend
15311,crystal
15312,npsgu
15313,shiratori
15314,920.1
15315,"966,000"
15316,"2,291,210"
15317,e.b.i
15318,-137
15319,"3,916,000"
15320,mcdowel
15321,906.2
15322,144.4
15323,"3,410,000"
15324,100-11
15325,--
15326,mckinley
15327,"5,574,000"
15328,healthi
15329,"148,070"
15330,"7,055,000"
15331,quarto
15332,maturit
15333,closely-knit
15334,non-casino
15335,equalis
15336,consult
15337,10.69
15338,champagn
15339,"656,000"
15340,now-ban
15341,"13,515,000"
15342,1986-90
15343,1.24
15344,60.9
15345,"109,315"
15346,synalloy
15347,undermin
15348,73.30
15349,gerri
15350,"19,078,072"
15351,"3,603,000"
15352,appalachian
15353,125-150
15354,three-point
15355,chli
15356,"108,419"
15357,"421,500"
15358,fcc
15359,324p
15360,13-billion-dlr
15361,"1,263"
15362,democratic-l
15363,focus
15364,trip
15365,giordano
15366,porfolio
15367,"1,450,000"
15368,"2,757,040"
15369,seven
15370,"1,240"
15371,conflict
15372,appris
15373,293.3
15374,fairfield
15375,1900gmt
15376,relinquish
15377,resubmit
15378,ramar
15379,kilolit
15380,strap
15381,portsmouth
15382,polar
15383,"1,943"
15384,hillard
15385,rinehart
15386,"8,834,000"
15387,fork
15388,chief
15389,seven-n
15390,anti-communist
15391,"642,000"
15392,swett
15393,"8,520,000"
15394,"7,959"
15395,guadalet
15396,wick
15397,boca
15398,"780,000"
15399,ferrosilicon
15400,nineth
15401,pacificorp
15402,"3,366,667"
15403,4.98
15404,justin
15405,927.6
15406,land-bas
15407,"20,760,000"
15408,"1,037,000"
15409,miltop
15410,7.64
15411,efac
15412,"116,727"
15413,280
15414,money-los
15415,armella
15416,feldstein
15417,26-1
15418,polaroid
15419,tomaszewska
15420,5.47
15421,enliven
15422,unfilt
15423,took
15424,non-petroleum
15425,md82
15426,one-for-six
15427,"217,884"
15428,puttabl
15429,61.47
15430,posit
15431,803.70
15432,23-year-old
15433,shop-at-hom
15434,sidro
15435,"4,300,000"
15436,"817,856"
15437,circl
15438,abastecimiento
15439,"10,637,500"
15440,"1,151,176"
15441,portugues
15442,appar
15443,9.47
15444,gobain
15445,drillhol
15446,fathi
15447,126.8
15448,roll
15449,tower
15450,nosed
15451,gazett
15452,9.61
15453,556
15454,blend
15455,fasb
15456,"840,440"
15457,fulfil
15458,like
15459,osaka
15460,"494,352"
15461,sealy-brand
15462,mcrae
15463,vike
15464,jobber
15465,eldb
15466,1.642
15467,flask
15468,ramif
15469,hwee
15470,bhp-utah
15471,monmouth
15472,70.5
15473,penta
15474,bink
15475,734.6
15476,525
15477,"25,786"
15478,cove
15479,tinker
15480,damage-limit
15481,1630
15482,1.7675
15483,presid
15484,141.93
15485,zurich
15486,discharg
15487,"720,126"
15488,constitut
15489,suspect
15490,"1,837.3-r"
15491,324.2
15492,nick
15493,"768,000"
15494,anacomp
15495,broker-deal
15496,entrepo
15497,outlook-analyst
15498,"688,000"
15499,rossiya
15500,r-iowa
15501,13-1
15502,19.10
15503,64.06
15504,"23,250"
15505,"4,014"
15506,"1,554,000"
15507,"6,519,473"
15508,"247,0000"
15509,unclear
15510,3.875
15511,lennon
15512,outlet
15513,belcher
15514,hosieri
15515,142
15516,furnitur
15517,ameron
15518,spr
15519,"9,543"
15520,pick
15521,txi
15522,khadeir
15523,86.7-r
15524,"9,724,418"
15525,pharmaci
15526,366.1
15527,zaid
15528,wayfoong
15529,"210,000"
15530,607
15531,"1,033,000"
15532,melvin
15533,shelf
15534,polysar
15535,api.a
15536,divest
15537,8.66
15538,vastli
15539,"1,226,609"
15540,higher-grad
15541,02
15542,gratifi
15543,jointly-own
15544,harder
15545,precaut
15546,"1,109,000"
15547,vasquez-rana
15548,well-plac
15549,47.2
15550,60.2
15551,drive
15552,"1,100"
15553,one-ounc
15554,40.6
15555,rko
15556,"2,512,000"
15557,nafi
15558,beerman
15559,87.9
15560,soviet-bloc
15561,526.3
15562,154.6
15563,off-exchang
15564,"73,653,000"
15565,a-111-1plu
15566,compuscan
15567,september-august
15568,coven
15569,"6,668,000"
15570,precondit
15571,toni
15572,rajan
15573,signatori
15574,-
15575,feedlot
15576,2.35
15577,0914
15578,fletcher
15579,entic
15580,argentin
15581,6.03
15582,weatherford
15583,derog
15584,burgan
15585,introduct
15586,telegraph
15587,"2,050"
15588,motion
15589,investcorp
15590,leap
15591,"16,085,000"
15592,avri
15593,ngfa
15594,shirt
15595,5-7
15596,semiconductor
15597,admiralti
15598,arthur
15599,rampant
15600,"8,246,849,000"
15601,cost-pric
15602,fishoil
15603,ffb
15604,broad-bas
15605,patterson
15606,sgen.pa
15607,wa
15608,air
15609,non-diversifi
15610,carmak
15611,perenni
15612,closur
15613,ftr
15614,fscn.j
15615,luxuri
15616,myrtl
15617,entex
15618,equador
15619,instabl
15620,middleman
15621,loophol
15622,732
15623,limbo
15624,refil
15625,"1,614,000"
15626,non-cash
15627,"7,110,000"
15628,fromn
15629,datacheck
15630,pave
15631,"513,153"
15632,tuscarawa
15633,jukwey
15634,duriron
15635,breakneck
15636,j.f
15637,"292,808"
15638,13.37
15639,eastbound
15640,sit
15641,crow
15642,whittak
15643,2nd
15644,523.4
15645,refuel
15646,"3,897,000"
15647,54-7
15648,"4,142,000"
15649,pca
15650,feb'87
15651,shu
15652,wallpap
15653,eight-month
15654,phelp
15655,0.212
15656,976
15657,"58,000"
15658,coal-fir
15659,april-jun
15660,"2,851,000"
15661,dunnen
15662,isab
15663,rupe
15664,loiu
15665,10.43
15666,1.27
15667,359.5
15668,mini-refund
15669,sudden
15670,bourgeoi
15671,non-socialist
15672,155-3
15673,stabl
15674,private-sector
15675,nazer
15676,guanta
15677,112.74
15678,fujian
15679,"51,300"
15680,rais
15681,batteri
15682,dynalectron
15683,507
15684,413p
15685,init
15686,0.221
15687,12.63
15688,"286,440"
15689,adob
15690,anti-dump
15691,jorio
15692,788.73
15693,"8,458,000"
15694,seguin
15695,"152,000"
15696,alcasa
15697,pcr
15698,ordinari
15699,99.4
15700,75.7
15701,"77,879"
15702,restor
15703,saga
15704,winnemucca
15705,513.5
15706,162.1
15707,horsham
15708,19.2
15709,bu-sorghum
15710,chart
15711,alfalfa
15712,"40,000"
15713,65.94
15714,0.1875
15715,"2,440,850"
15716,"158,000"
15717,spur
15718,re-open
15719,"644,500"
15720,nesi.t
15721,2006
15722,hercul
15723,mame
15724,yanbu
15725,"1,121,664"
15726,dba
15727,contempl
15728,"756,000"
15729,boycot
15730,21.92
15731,"5,827,538"
15732,7.32
15733,"3,908,000"
15734,sens
15735,unbil
15736,form
15737,"87,350"
15738,morioka
15739,falter
15740,sensormat
15741,goldberg
15742,5.08
15743,raul
15744,regent
15745,plenum
15746,resolv
15747,over-react
15748,customarili
15749,tin
15750,ruiz
15751,coupl
15752,20.3p
15753,"18,679,090"
15754,fade
15755,20-month
15756,595.4
15757,bralorn
15758,cumbersom
15759,non-flat
15760,fsla
15761,"603,430"
15762,mx
15763,vul
15764,"887,886"
15765,siggi
15766,25.75
15767,"6,340,000"
15768,mmwg.f
15769,8.24
15770,overland
15771,somatotropin
15772,friendswood
15773,saxon
15774,strevig
15775,ultra
15776,"7,200"
15777,snare
15778,274.3
15779,ramon
15780,jimmi
15781,tecd
15782,56-day
15783,gardini
15784,x-revis
15785,elaps
15786,unexpect
15787,norddeutsch
15788,47.42
15789,styx
15790,9.09
15791,dxns.l
15792,churchmen
15793,"3,785,688"
15794,warmli
15795,stearin
15796,ado
15797,kern
15798,argu
15799,mid-1985
15800,flumar
15801,politically-inhibit
15802,"1,056,452"
15803,islg.f
15804,butt
15805,promissori
15806,hb
15807,reesent
15808,"31,000"
15809,beltsvil
15810,marvoc
15811,mc.t
15812,noon
15813,grossli
15814,redirect
15815,1987-92
15816,"2,375"
15817,"10,600"
15818,disclosur
15819,qualfi
15820,"2,223"
15821,promptli
15822,248.5
15823,"712,500"
15824,amtorg
15825,50-100
15826,statist
15827,treatabl
15828,70-88
15829,"6,565,000"
15830,arsen
15831,bergeron
15832,384.5
15833,"8,045,493"
15834,tsang
15835,ozarka
15836,digniti
15837,121.89
15838,connot
15839,1500
15840,kritchevski
15841,13d
15842,tight
15843,"2,853,000"
15844,gustavo
15845,endowment-link
15846,landov
15847,watchword
15848,53.5
15849,8-5
15850,iml
15851,"82,034"
15852,eco
15853,"2,267,900,000"
15854,ankara
15855,"18,100"
15856,enlighten
15857,"487,121"
15858,finer
15859,1300
15860,barr
15861,607.1
15862,postwar
15863,recapitalis
15864,waterway
15865,lanc
15866,151-173
15867,full-fledg
15868,pbi
15869,bergen
15870,euronot
15871,denial
15872,"6,160,000"
15873,ultrafast
15874,forfeitur
15875,195
15876,prolif
15877,del
15878,"709,200"
15879,supply-demand
15880,dispens
15881,bbb-plu
15882,neic
15883,211.9
15884,japanese-mad
15885,usurp
15886,japanese-styl
15887,copra
15888,tweendeck
15889,263.15
15890,beau
15891,"1,972,000"
15892,53.05p
15893,tree
15894,inflationari
15895,"87,619"
15896,label
15897,macmillan
15898,baltimor
15899,cohasset
15900,tomenson
15901,hammond
15902,"1.090,000"
15903,"1,042,000"
